dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
find,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,refer to he teserect and find out more aut kalen,Refer to he teserect and **** out more aut kalen,,,,
taken,"In Activity 2, you must have first taken the original necklace apart, separated
the beads according to their colour and then made the two new necklaces.",In Activity 2 you must have first taken the original necklace apart separated the beads according to their colour and then made the two new necklaces,2 you must have first taken the original necklace apart,2 you must have first ***** the original necklace apart,,,,
by,"MEE helps principals and teachers by providing them with analytics for each learner's performance to
the minutest detail.",MEE helps principals and teachers by providing them with analytics for each learners performance to the minutest detail,mee helps principals and teachers by providing them with analytics,Mee helps principals and teachers ** providing them with analytics,,,,
recall,"®

Page 72

CONCEPT RECALL

1, _____ keeps the body warm and gives energy.",  Page 72  CONCEPT RECALL  1  keeps the body warm and gives energy,page 72 concept recall 1 keeps the body,Page 72 concept ****** 1 keeps the body,,,,
exercise,Exercise: Regular exercise and yoga keep our body fit.,Exercise Regular exercise and yoga keep our body fit,exercise regular exercise and yoga,******** regular ******** and yoga,,,,
my,"classroom/home-based group projects
to develop research skills

MY INDIA, MY PRIDE

Snippets to instil national pride through the
knowledge of India and its varied culture,

° oe * Alter the completion of te IN
heritage, traditions, customs and strong ethics ea @- Hye ar
(hat has empacted the Note to the teacher
= == tal

| Divide the students into teams.",classroomhomebased group projects to develop research skills  MY INDIA MY PRIDE  Snippets to instil national pride through the knowledge of India and its varied culture   oe  Alter the completion of te IN heritage traditions customs and strong ethics ea  Hye ar hat has empacted the Note to the teacher   tal   Divide the students into teams,projects to develop research skills my india my pride snippets,Projects to develop research skills ** india ** pride snippets,,,,
workbook,";

Vavu cde cceUGaes vob setoRi Cen cCuy¥eeu Awe tnepcacely ro bsatalent clubeccsgcs Wiuuvvscthaweweve WarGvencrvegheuupieredarvagetenswutteceGeccecveucusesveus

Workbook Connect
For more practice of the skills and concepts you.",  Vavu cde cceUGaes vob setoRi Cen cCuyeeu Awe tnepcacely ro bsatalent clubeccsgcs Wiuuvvscthaweweve WarGvencrvegheuupieredarvagetenswutteceGeccecveucusesveus  Workbook Connect For more practice of the skills and concepts you,ro bsatalent clubeccsgcs wiuuvvscthaweweve wargvencrvegheuupieredarvagetenswuttecegeccecveucusesveus workbook connect for more practice,Ro bsatalent clubeccsgcs wiuuvvscthaweweve wargvencrvegheuupieredarvagetenswuttecegeccecveucusesveus ******** connect for more practice,,,,
clean,"Ne | need clean air to

4 be .",Ne  need clean air to  4 be ,ne need clean air to 4 be,Ne need ***** air to 4 be,,,,
need,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,a straw b enews coensst need ears ten neng nou,A straw b enews coensst **** ears ten neng nou,,,,
space,"Colour the things that need air
(CG-1|06-2106-4 i + Prove that air occupies space water vapour | to move
06-4) 06-7) + Prove that air has mass changi : :
; + Find out that air contains dust particles ng + Comprehension questions
+ Prove that air contains water vapour to water + HOTS
n° + Weave a story droplets
+ Infer that air helps in burning
4.",Colour the things that need air CG10621064 i  Prove that air occupies space water vapour  to move 064 067  Prove that air has mass changi     Find out that air contains dust particles ng  Comprehension questions  Prove that air contains water vapour to water  HOTS n  Weave a story droplets  Infer that air helps in burning 4,i prove that air occupies space water vapour to move,I prove that air occupies ***** water vapour to move,,,,
feather,"|* Picture-study birdthatis  |* Read the clues to identify the
C-4.1 Observes and describes diversity among birds in the environment |+ Nests of birds  |* Draw beaks , commonly | birds
Projectbesed leaning: C52 Presents observations and findings through diferent creative modes © Het Oe SIE CIGI CEASE] gx Explain the feet of birds
back claws : + Label the body parts of birds
Bring house i + identify the feather of a bird * Comprehension questions
negones + Make a paper plane * HOTS
C Sey | Study a Colour the picture Virtual tour: Keoladeo Ghana
CGH | Do it yourself; Kalamkari | National Park

ces SSS

Chapter:

Key

ivi Talk Exercises
Concepts Warm-up/Activity a 3

Curricular Competencies
Goals

7.", Picturestudy birdthatis   Read the clues to identify the C41 Observes and describes diversity among birds in the environment  Nests of birds   Draw beaks  commonly  birds Projectbesed leaning C52 Presents observations and findings through diferent creative modes  Het Oe SIE CIGI CEASE gx Explain the feet of birds back claws   Label the body parts of birds Bring house i  identify the feather of a bird  Comprehension questions negones  Make a paper plane  HOTS C Sey  Study a Colour the picture Virtual tour Keoladeo Ghana CGH  Do it yourself Kalamkari  National Park  ces SSS  Chapter  Key  ivi Talk Exercises Concepts WarmupActivity a 3  Curricular Competencies Goals  7,bring house i identify the feather of a bird comprehension,Bring house i identify the ******* of a bird comprehension,,,,
each,"MEE helps principals and teachers by providing them with analytics for each learner's performance to
the minutest detail.",MEE helps principals and teachers by providing them with analytics for each learners performance to the minutest detail,providing them with analytics for each learners performance to the,Providing them with analytics for **** learners performance to the,,,,
cutting,"ame Re
= 3M Rp)
~e et '

Animals such as cows and buffaloes first bite and cut leaves and grass into

Act
pieces, They have sharp front teeth for biting and cutting Later, they chew and ti

Have you seen ants moving and working together as a team?",ame Re  3M Rp e et   Animals such as cows and buffaloes first bite and cut leaves and grass into  Act pieces They have sharp front teeth for biting and cutting Later they chew and ti  Have you seen ants moving and working together as a team,front teeth for biting and cutting later they chew and,Front teeth for biting and ******* later they chew and,,,,
biting,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,gives the cnzens of that biting and chewing food y,Gives the cnzens of that ****** and chewing food y,,,,
corn,"corn pe Critical Thinking

\

\ /

Look at the pictures and name each of them.",corn pe Critical Thinking       Look at the pictures and name each of them,corn pe critical thinking look,**** pe critical thinking look,,,,
creative,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,observations and findings through different creative modes leam about venation,Observations and findings through different ******** modes leam about venation,,,,
you,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,about altura macmillan education introduces you to a new world,About altura macmillan education introduces *** to a new world,,,,
