dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
formation,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,a plant pant erengonert fv formation of rats fom flowers
should,"\ }

To keep the brain active, we should
solve riddles and puzzles.",   To keep the brain active we should solve riddles and puzzles,keep the brain active we should solve riddles and puzzles
platform,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,digital interactivities along withacomprehensive learning platform with a range of
about,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,page nummber 1 about altura macmillan education introduces
same,"Cells of the
same type join together to form a tissue.",Cells of the same type join together to form a tissue,cells of the same type join together to
wee,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,nummber 5 neue anef senue wee es pot to nattooat
water,"Water 126
Unit vl 12.",Water 126 Unit vl 12,water 126 unit vl 12
bow,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,tac eras ont bec th bow hr seeds bul in
that,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,combines smartly designed learning resources that are aligned to the
them,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,to track learners progress assign them homework assessments grades and
when,"The leaves of a
touch-me-not plant close when touched.",The leaves of a touchmenot plant close when touched,of a touchmenot plant close when touched
social,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,121 124 129 observation initiative social si 26 27 40
