word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
bee,3_science_LS2,nan spss bee es d components gh,Nan spss *** es d components gh,Just plain old black dirt was also used as a pack to relieve wasp or bee stings .,Just plain old black dirt was also used as a pack to relieve wasp or *** stings .,Bees make honey.,***s make honey.
ewe,3_science_LS2,e critical thinking eee eew ewe ewe ew eww ew,E critical thinking eee eew *** *** ew eww ew,In some ( the Ewe type mentioned above ) interaction of tone and intonation is restricted to the ends of intonation spans .,In some ( the *** type mentioned above ) interaction of tone and intonation is restricted to the ends of intonation spans ., The ewe is in the field., the *** is in the field.
old,3_science_LS2,new cells and repair of old cells,New cells and repair of *** cells,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .,The department apparently intends to make the rural roads authority a revolving fund under which new bonds would be issued every time a portion of the *** ones are paid off by tax authorities .,My grandpa is very old.,My grandpa is very ***.
weather,3_science_LS2,example foods spoil if the weather is hot or if,Example foods spoil if the ******* is hot or if,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route .","Assuming the ******* is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as president john f. kennedy and retiring president dwight d. eisenhower leave capitol hill following the oath-taking ceremonies and ride down this historic ceremonial route .",The weather is sunny.,The ******* is sunny.
not,3_science_LS2,or if the food is not stored properly,Or if the food is *** stored properly,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .","The jury did *** elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",I'm not tired yet.,I'm *** tired yet.
order,3_science_LS2,in order to build her muscles,In ***** to build her muscles,"Ordinary Carey Williams , armed with a pistol , stood by at the polls to insure order .","Ordinary carey williams , armed with a pistol , stood by at the polls to insure ***** .",I order a pizza with cheese.,I ***** a pizza with cheese.
soil,3_science_LS2,an adult take some moist soil in a pot,An adult take some moist **** in a pot,The fabrics have Scotchgard finish to resist soil and wrinkles .,The fabrics have scotchgard finish to resist **** and wrinkles .,Plants grow in soil.,Plants grow in ****.
pack,3_science_LS2,the following will his mother pack for him,The following will his mother **** for him,They now lead Louisville by a full game on top of the American Association pack .,They now lead louisville by a full game on top of the american association **** ., Let's pack for our trip., let's **** for our trip.
note,3_science_LS2,note your observation in the,**** your observation in the,A note making the request was handed to U.S. Ambassador Winthrop G. Brown .,A **** making the request was handed to u.s. ambassador winthrop g. brown .,Please take note of the date.,Please take **** of the date.
human,3_science_LS2,the human body needs activities,The ***** body needs activities,It made him human .,It made him ***** .,Every human has a heart.,Every ***** has a heart.
elderly,3_science_LS2,age elderly people may like to,Age ******* people may like to,Of the two cherished achievements the elderly Spahn's hitless pitching probably reached the most hearts .,Of the two cherished achievements the ******* spahn's hitless pitching probably reached the most hearts ., The elderly man needs assistance., the ******* man needs assistance.
